Id,Time,Machine,Component,Parameter,Value
1,01-05-2022 00:00,Dozer_1,Drive,Transmission Pressure,677.08
2,01-05-2022 00:10,Excavator_1,Misc,Air Filter Pressure,18.32
3,01-05-2022 00:20,Excavator_1,Fuel,Pressure,115.95
4,01-05-2022 00:30,Dozer_1,Misc,System Voltage,70.23
5,01-05-2022 00:40,Excavator_1,Drive,Brake Control,0.92
6,01-05-2022 00:50,Dozer_1,Fuel,Temparature,260.63
7,01-05-2022 01:00,Excavator_1,Engine,Oil Pressure,69.25
8,01-05-2022 01:10,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,1291.77
9,01-05-2022 01:20,Excavator_1,Fuel,Temparature,326.03
10,01-05-2022 01:30,Dozer_1,Misc,Air Filter Pressure,26.85
11,01-05-2022 01:40,Dozer_1,Misc,Hydraulic Pump Rate,195.42
12,01-05-2022 01:50,Backhoe_Loader_1,Engine,Temparature,301.44
13,01-05-2022 02:00,Excavator_1,Misc,Hydraulic Pump Rate,58.13
14,01-05-2022 02:10,Backhoe_Loader_1,Drive,Transmission Pressure,1130.93
15,01-05-2022 02:20,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,301.6
16,01-05-2022 02:30,Backhoe_Loader_1,Misc,System Voltage,10.83
17,01-05-2022 02:40,Articulated_Truck_1,Engine,Temparature,66.18
18,01-05-2022 02:50,Dozer_1,Fuel,Pressure,93.14
19,01-05-2022 03:00,Articulated_Truck_1,Drive,Pedal Sensor,10.47
20,01-05-2022 03:10,Articulated_Truck_1,Drive,Transmission Pressure,1267.98
21,01-05-2022 03:20,Articulated_Truck_1,Misc,Exhaust Gas Temparature,601.7
22,01-05-2022 03:30,Backhoe_Loader_1,Engine,Speed,2010.36
23,01-05-2022 03:40,Excavator_1,Drive,Pedal Sensor,8.4
24,01-05-2022 03:50,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,311.59
25,01-05-2022 04:00,Articulated_Truck_1,Misc,Air Filter Pressure,32.94
26,01-05-2022 04:10,Dozer_1,Fuel,Temparature,766.83
27,01-05-2022 04:20,Dozer_1,Misc,Hydraulic Pump Rate,175.14
28,01-05-2022 04:30,Articulated_Truck_1,Fuel,Temparature,763.37
29,01-05-2022 04:40,Articulated_Truck_1,Engine,Oil Pressure,124.34
30,01-05-2022 04:50,Articulated_Truck_1,Drive,Pedal Sensor,16.66
31,01-05-2022 05:00,Dozer_1,Engine,Speed,1926.56
32,01-05-2022 05:10,Dozer_1,Engine,Temparature,765.64
33,01-05-2022 05:20,Excavator_1,Engine,Speed,141.32
34,01-05-2022 05:30,Excavator_1,Engine,Temparature,73.32
35,01-05-2022 05:40,Dozer_1,Engine,Oil Pressure,122.86
36,01-05-2022 05:50,Dozer_1,Drive,Brake Control,0.94
37,01-05-2022 06:00,Excavator_1,Drive,Transmission Pressure,1152.47
38,01-05-2022 06:10,Excavator_1,Fuel,Level,4.85
39,01-05-2022 06:20,Backhoe_Loader_1,Drive,Brake Control,0.65
40,01-05-2022 06:30,Articulated_Truck_1,Drive,Transmission Pressure,1382.22
41,01-05-2022 06:40,Backhoe_Loader_1,Misc,System Voltage,34.6
42,01-05-2022 06:50,Dozer_1,Misc,Air Filter Pressure,9.95
43,01-05-2022 07:00,Excavator_1,Drive,Transmission Pressure,561.8
44,01-05-2022 07:10,Articulated_Truck_1,Misc,Hydraulic Pump Rate,280.64
45,01-05-2022 07:20,Articulated_Truck_1,Fuel,Water in Fuel,5993.2
46,01-05-2022 07:30,Articulated_Truck_1,Misc,Hydraulic Pump Rate,432.3
