Id,Time,Machine,Component,Parameter,Value
1,01-05-2022 00:00,Dozer_1,Fuel,Fuel Pressure,137.51
2,01-05-2022 00:10,Dozer_1,Drive,Pedal Sensor,22.21
3,01-05-2022 00:20,Articulated_Truck_1,Engine,Oil Pressure,95.72
4,01-05-2022 00:30,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,1076.78
5,01-05-2022 00:40,Excavator_1,Fuel,Fuel Pressure,146.02
6,01-05-2022 00:50,Articulated_Truck_1,Drive,Brake Control,1.41
7,01-05-2022 01:00,Articulated_Truck_1,Engine,Temperature,77.14
8,01-05-2022 01:10,Articulated_Truck_1,Drive,Brake Control,2.67
9,01-05-2022 01:20,Excavator_1,Engine,Oil Pressure,23.0
10,01-05-2022 01:30,Dozer_1,Misc,Hydraulic Pump Rate,312.5
11,01-05-2022 01:40,Backhoe_Loader_1,Fuel,Fuel Level,0.64
12,01-05-2022 01:50,Backhoe_Loader_1,Fuel,Fuel Level,0.74
13,01-05-2022 02:00,Articulated_Truck_1,Engine,Temperature,30.75
14,01-05-2022 02:10,Backhoe_Loader_1,Misc,Air Filter Pressure,28.22
15,01-05-2022 02:20,Backhoe_Loader_1,Fuel,Fuel Level,3.04
16,01-05-2022 02:30,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,1921.14
17,01-05-2022 02:40,Articulated_Truck_1,Misc,Exhaust Gas Temperature,1249.14
18,01-05-2022 02:50,Articulated_Truck_1,Engine,Temperature,319.87
19,01-05-2022 03:00,Backhoe_Loader_1,Fuel,Fuel Pressure,66.85
20,01-05-2022 03:10,Dozer_1,Fuel,Fuel Pressure,147.96
21,01-05-2022 03:20,Backhoe_Loader_1,Engine,Speed,3453.69
22,01-05-2022 03:30,Backhoe_Loader_1,Drive,Pedal Sensor,20.86
23,01-05-2022 03:40,Articulated_Truck_1,Fuel,Fuel Pressure,199.31
24,01-05-2022 03:50,Backhoe_Loader_1,Drive,Pedal Sensor,10.18
25,01-05-2022 04:00,Excavator_1,Engine,Speed,1717.98
26,01-05-2022 04:10,Articulated_Truck_1,Engine,Speed,5290.82
27,01-05-2022 04:20,Articulated_Truck_1,Drive,Transmission Pressure,453.0
28,01-05-2022 04:30,Dozer_1,Misc,Air Filter Pressure,39.74
29,01-05-2022 04:40,Dozer_1,Drive,Transmission Pressure,1091.82
